Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
GMC,Yukon,2014,Saudi,Black,Full,5.3,Gas,Automatic,Used,242000,Dammam,73000,FALSE
GMC,Sierra,2017,Saudi,Silver,Full,5.3,Gas,Automatic,Used,174000,Dammam,99000,FALSE
Fiat,Fiorino,2016,Saudi,White,Standard,,Gas,Manual,Used,45000,Dammam,27000,FALSE
Chevrolet,Malibu,2013,Saudi,White,Full,3,Gas,Automatic,Used,231,Riyadh,Negotiable,TRUE
Lincoln,MKX,2016,Other,White,Full,3.7,Gas,Automatic,Used,99000,Dammam,99000,FALSE
Lexus,ES,2017,Other,White,Full,3,Gas,Automatic,Used,69000,Dammam,142000,FALSE
Dodge,Challenger,2016,Other,Silver,Full,3.6,Gas,Automatic,Used,160000,Dammam,89000,FALSE
Mercedes,E,2017,Other,Grey,Full,2,Gas,Automatic,Used,66000,Dammam,162000,FALSE
Dodge,Charger,2016,Other,Red,Full,3.6,Gas,Automatic,Used,100000,Dammam,99000,FALSE
Mercedes,C,2017,Other,White,Full,2,Gas,Automatic,Used,50000,Dammam,175000,FALSE
Lexus,ES,2019,Other,Grey,Full,3.5,Gas,Automatic,Used,68000,Dammam,179000,FALSE
Chevrolet,Malibu,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,176000,Dammam,49000,FALSE
Nissan,Sunny,2016,Saudi,White,Standard,1.5,Gas,Automatic,Used,130000,Dammam,25000,FALSE
GMC,Yukon,2016,Other,White,Full,5.3,Gas,Automatic,Used,213000,Dammam,146000,FALSE
Hyundai,Creta,2019,Saudi,Blue,Standard,1.6,Gas,Automatic,Used,24516,Riyadh,56500,FALSE
Ford,Taurus,2013,Saudi,Silver,Standard,3.5,Gas,Automatic,Used,87108,Riyadh,56500,FALSE
Toyota,Corolla,2020,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,67839,Jeddah,56500,FALSE
Toyota,Camry,2015,Saudi,Black,Standard,2.5,Gas,Automatic,Used,130020,Riyadh,56500,FALSE
Ford,Taurus,2016,Other,White,Semi Full,,Gas,Automatic,Used,114000,Dammam,75000,FALSE
Ford,Mustang,2016,Other,Red,Full,3.7,Gas,Automatic,Used,103000,Dammam,94000,FALSE
Ford,Taurus,2018,Other,White,Semi Full,,Gas,Automatic,Used,75000,Dammam,96000,FALSE
Mercedes,GLC,2017,Other,White,Full,2,Gas,Automatic,Used,92000,Dammam,173000,FALSE
Hyundai,Senta fe,2015,Gulf Arabic,Grey,Semi Full,1.6,Gas,Automatic,Used,158000,Dammam,54000,FALSE
Ford,Taurus,2018,Other,Bronze,Full,3.5,Gas,Automatic,Used,59000,Dammam,91000,FALSE
Hyundai,Accent,2017,Saudi,Silver,Standard,1.4,Gas,Automatic,Used,181000,Dammam,29000,FALSE
Chevrolet,Suburban,2016,Other,Bronze,Full,5.3,Gas,Automatic,Used,192000,Dammam,143000,FALSE
Chevrolet,Suburban,2017,Other,Bronze,Full,5.3,Gas,Automatic,Used,133000,Dammam,159000,FALSE
Ford,Taurus,2019,Other,Red,Semi Full,3.5,Gas,Automatic,Used,108000,Dammam,97000,FALSE
Chevrolet,Impala,2015,Other,Silver,Full,,Gas,Automatic,Used,106000,Dammam,79000,FALSE
Honda,Accord,2017,Saudi,White,Standard,2.4,Gas,Automatic,Used,104000,Dammam,79000,FALSE
Mazda,3,2017,Gulf Arabic,Grey,Full,1.6,Gas,Automatic,Used,92000,Dammam,59000,FALSE
Ford,Mustang,2016,Other,Red,Full,5,Gas,Automatic,Used,92000,Dammam,129000,FALSE
Toyota,Camry,2017,Saudi,White,Standard,,Gas,Automatic,Used,125000,Dammam,66000,FALSE
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4,Gas,Automatic,Used,79000,Dammam,139000,FALSE
Kia,Carnival,2016,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,Used,85000,Dammam,62000,FALSE
Isuzu,D-MAX,2020,Saudi,White,Full,3,Diesel,Automatic,Used,2700,Aseer,Negotiable,TRUE
Ford,Mustang,2016,Other,Red,Full,,Gas,Automatic,Used,84000,Dammam,97000,FALSE
Toyota,Land Cruiser,2013,Saudi,White,Full,,Gas,Automatic,Used,101000,Aseer,150000,FALSE
Kia,Cerato,2014,Saudi,White,Standard,1.6,Gas,Automatic,Used,155000,Riyadh,21000,FALSE
Chevrolet,Caprice,2004,Other,Silver,Full,,Gas,Automatic,Used,400,Dammam,Negotiable,TRUE
Lincoln,Navigator,2015,Gulf Arabic,Black,Full,3.7,Gas,Automatic,Used,80000,Dammam,110000,FALSE
Lincoln,Navigator,2016,Saudi,Brown,Full,3.7,Gas,Automatic,Used,79000,Dammam,115000,FALSE
Toyota,Corolla,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,52443,Riyadh,56500,FALSE
Hyundai,Azera,2018,Saudi,Blue,Standard,3.5,Gas,Automatic,Used,98530,Riyadh,56500,FALSE
Hyundai,Senta fe,2014,Saudi,Black,Full,3.3,Gas,Automatic,Used,201421,Riyadh,57500,FALSE
Toyota,Corolla,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,109885,Jeddah,57000,FALSE
Land Rover,Range Rover,2016,Saudi,Red,Full,5,Gas,Automatic,Used,35500,Riyadh,Negotiable,TRUE
Toyota,Land Cruiser,2019,Saudi,White,Full,3.2,Gas,Automatic,Used,43000,Riyadh,236000,FALSE
Geely,EC7,2014,Saudi,Brown,Full,1.4,Gas,Manual,Used,190000,Riyadh,Negotiable,TRUE
MG,ZS,2020,Saudi,Red,Full,1.5,Gas,Automatic,Used,33000,Riyadh,55000,FALSE
Toyota,Furniture,2018,Saudi,Another Color,Semi Full,,Gas,Automatic,Used,30000,Tabouk,Negotiable,TRUE
Mitsubishi,Pajero,2016,Saudi,White,Full,3.5,Gas,Automatic,Used,132000,Riyadh,56000,FALSE
Ford,Expedition,2012,Saudi,White,Full,,Gas,Automatic,Used,289000,Al-Ahsa,57000,FALSE
Kia,Carnival,2018,Saudi,White,Standard,,Gas,Automatic,Used,100000,Al-Ahsa,69000,FALSE
Hyundai,Sonata,2018,Saudi,Grey,Standard,,Gas,Automatic,Used,65000,Al-Ahsa,64000,FALSE
Hyundai,Elantra,2018,Saudi,Silver,Semi Full,1.6,Gas,Automatic,Used,86000,Al-Ahsa,49000,FALSE
Toyota,Camry,2016,Saudi,White,Full,,Gas,Automatic,Used,145000,Al-Ahsa,67000,FALSE
Mazda,6,2018,Saudi,Brown,Standard,,Gas,Automatic,Used,188000,Al-Ahsa,59000,FALSE
GMC,Sierra,2011,Saudi,White,Standard,,Gas,Automatic,Used,272000,Al-Ahsa,41000,FALSE
MINI,Copper,2016,Gulf Arabic,Another Color,Semi Full,,Gas,Automatic,Used,107000,Al-Ahsa,59000,FALSE
Ford,Expedition,2016,Saudi,Grey,Standard,,Gas,Automatic,Used,172000,Al-Ahsa,76000,FALSE
Lexus,ES,2016,Gulf Arabic,Navy,Semi Full,,Gas,Automatic,Used,200000,Hafar Al-Batin,80000,FALSE
Mazda,6,2020,Saudi,Grey,Standard,2.5,Gas,Automatic,Used,36000,Riyadh,Negotiable,TRUE
Ford,Marquis,2002,Saudi,Grey,Full,4.5,Gas,Automatic,Used,438074,Abha,10000,FALSE
Mercedes,C,2016,Other,Silver,Full,2,Gas,Automatic,Used,92000,Jeddah,120000,FALSE
Nissan,Pathfinder,2006,Saudi,White,Full,,Gas,Automatic,Used,300,Riyadh,21000,FALSE
Toyota,Camry,2001,Saudi,Green,Standard,1.4,Gas,Manual,Used,300,Qassim,13500,FALSE
Nissan,Pathfinder,2014,Saudi,White,Semi Full,3.5,Gas,Automatic,Used,198000,Dammam,50000,FALSE
Chevrolet,Tahoe,2008,Other,Golden,Semi Full,,Gas,Automatic,Used,450000,Riyadh,Negotiable,TRUE
Toyota,Corolla,2013,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,296,Jazan,30000,FALSE
Renault,Duster,2014,Other,Brown,Semi Full,,Gas,Manual,Used,135000,Riyadh,Negotiable,TRUE
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,Used,94000,Riyadh,58000,FALSE
Hyundai,Sonata,2019,Saudi,Silver,Standard,2.4,Gas,Automatic,Used,129413,Riyadh,57500,FALSE
Mitsubishi,Pajero,2016,Saudi,White,Full,3.5,Gas,Automatic,Used,161353,Riyadh,57500,FALSE
Hyundai,Elantra,2020,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,20939,Riyadh,57500,FALSE
Toyota,Camry,2012,Saudi,Silver,,,Gas,Automatic,Used,211869,Al-Ahsa,Negotiable,TRUE
Toyota,Camry,2016,,White,,,Gas,Automatic,Used,254000,Riyadh,Negotiable,TRUE
Ford,Expedition,2013,Saudi,Navy,Semi Full,,Gas,Automatic,Used,94000,Dammam,60000,FALSE
Toyota,Camry,2016,Saudi,White,Full,4,Gas,Automatic,Used,260000,Riyadh,53000,FALSE
Ford,Expedition,2015,,Black,,,Gas,,Used,125000,Jeddah,75000,FALSE
Chrysler,C300,2013,Saudi,Silver,Full,5.7,Gas,Automatic,Used,241000,Riyadh,41000,FALSE
Chevrolet,Caprice,2009,Saudi,Black,Standard,3.5,Gas,Automatic,Used,320000,Jeddah,27000,FALSE
Lexus,ES,2002,Gulf Arabic,Grey,Full,3.5,Gas,Automatic,Used,428000,Hail,Negotiable,TRUE
Nissan,Sunny,2014,Other,Black,Standard,1.5,Gas,Automatic,Used,156,Riyadh,Negotiable,TRUE
Mercedes,S,1993,Other,Navy,Full,,Gas,Automatic,Used,138,Al-Jouf,22000,FALSE
Chevrolet,Tahoe,2014,Saudi,Golden,Semi Full,,Gas,Automatic,Used,157000,Al-Jouf,68500,FALSE
GMC,Yukon,2012,Saudi,Another Color,Standard,,Gas,Automatic,Used,65000,Makkah,80000,FALSE
Toyota,Hilux,2016,Saudi,White,Semi Full,2.7,Gas,Automatic,Used,211000,Makkah,66000,FALSE
Chevrolet,Malibu,2011,Saudi,Golden,Full,3.6,Gas,Automatic,Used,299,Jeddah,Negotiable,TRUE
Toyota,FJ,2013,Saudi,Bronze,Standard,,Gas,Automatic,Used,260000,Riyadh,Negotiable,TRUE
Dodge,Charger,2020,Saudi,Black,Semi Full,3.6,Gas,Automatic,Used,21000,Riyadh,120000,FALSE
Ford,Taurus,2010,Other,Black,Semi Full,,Gas,Automatic,Used,406593,Jeddah,19000,FALSE
Toyota,Hilux,2018,Saudi,White,Full,2.7,Gas,Manual,Used,122000,Najran,65000,FALSE
BMW,X,2015,Gulf Arabic,White,Full,1.6,Gas,Automatic,Used,72000,Riyadh,170000,FALSE
Toyota,Land Cruiser Pickup,2015,Saudi,Brown,Semi Full,4,Gas,Manual,Used,96000,Tabouk,95000,FALSE
Toyota,FJ,2015,Gulf Arabic,White,Full,4,Gas,Automatic,Used,300000,Tabouk,Negotiable,TRUE
Ford,Explorer,2010,Saudi,Silver,Full,,Gas,Automatic,Used,250000,Jeddah,21000,FALSE
Lexus,LX,2017,Saudi,Bronze,Full,5.7,Gas,Automatic,Used,51000,Dammam,340000,FALSE
Honda,Other,2009,Saudi,Orange,Full,1,Gas,Manual,Used,32743,Jeddah,27500,FALSE
Hyundai,Elantra,2020,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,24348,Riyadh,57500,FALSE
Hyundai,Elantra,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,16925,Riyadh,57500,FALSE
Ford,Taurus,2013,Saudi,Silver,Standard,3.5,Gas,Automatic,Used,53393,Riyadh,57500,FALSE
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,Used,31595,Riyadh,58000,FALSE
BMW,X,2012,Other,Grey,Full,3,Gas,Automatic,Used,294000,Jeddah,45000,FALSE
Toyota,Hilux,2012,Saudi,White,Full,,Gas,Manual,Used,337681,Al-Ahsa,Negotiable,TRUE
Audi,S5,2018,Saudi,White,Full,3,Gas,Automatic,Used,79800,Dammam,160000,FALSE
Toyota,Camry,2014,Saudi,Black,Standard,,Gas,Automatic,Used,295,Jeddah,Negotiable,TRUE
Ford,F150,2012,Saudi,Black,Standard,3.6,Gas,Automatic,Used,235000,Al-Medina,55000,FALSE
Audi,A6,2016,Saudi,Another Color,Full,,Gas,Automatic,Used,77000,Jeddah,90000,FALSE
Mercedes,S,2014,Other,Grey,Full,4,Gas,Automatic,Used,29000,Dammam,260000,FALSE
Mercedes,S,2015,Gulf Arabic,White,Full,3,Gas,Automatic,Used,96500,Dammam,220000,FALSE
Mercedes,GLC,2019,Saudi,Grey,Full,2,Gas,Automatic,Used,56000,Dammam,223000,FALSE
Land Rover,Range Rover,2014,Saudi,White,Full,5,Gas,Automatic,Used,97500,Jeddah,195000,FALSE
Nissan,Sunny,2008,Saudi,White,Standard,1.5,Gas,Manual,Used,275000,Riyadh,10000,FALSE
Toyota,Camry,2001,Saudi,White,Full,1.4,Gas,Manual,Used,399000,Jubail,10000,FALSE
GMC,Yukon,2015,Saudi,White,Full,5.8,Gas,Automatic,Used,200000,Khobar,Negotiable,TRUE
Toyota,Yaris,2017,Saudi,White,Standard,1.3,Gas,Automatic,Used,100000,Makkah,27000,FALSE
Dodge,Charger,2019,Saudi,Grey,Full,3.6,Gas,Automatic,Used,78000,Khobar,124000,FALSE
Hyundai,Sonata,2013,Saudi,White,Semi Full,,Gas,Automatic,Used,344506,Jeddah,30000,FALSE
Lexus,LX,2014,Saudi,White,Full,,Gas,Automatic,Used,342,Abha,150000,FALSE
Hyundai,Accent,2016,Saudi,White,Standard,1.4,Gas,Automatic,Used,111,Riyadh,22000,FALSE
Hyundai,H1,2013,Saudi,White,Semi Full,2.4,Gas,Automatic,Used,318000,Riyadh,26000,FALSE
Chevrolet,Caprice,2013,Saudi,Blue,Full,5.5,Gas,Automatic,Used,184000,Riyadh,36000,FALSE
Jeep,Grand Cherokee,2020,Saudi,White,Full,3.6,Gas,Automatic,Used,27150,Aseer,165000,FALSE
Nissan,Sentra,2017,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,55005,Jeddah,1139,FALSE
Hyundai,H1,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,Used,106336,Riyadh,58500,FALSE
Geely,X7,2019,Saudi,Red,Full,2.4,Gas,Automatic,Used,27817,Riyadh,58500,FALSE
Geely,GS,2020,Saudi,Golden,Semi Full,1.8,Gas,Automatic,Used,8400,Riyadh,58500,FALSE
Hyundai,H1,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,Used,79237,Riyadh,58500,FALSE
Toyota,Camry,2010,Saudi,Brown,Semi Full,,Gas,Automatic,Used,4444,Dammam,Negotiable,TRUE
GMC,Yukon,2007,Other,Red,Standard,,Gas,Manual,Used,329131,Dammam,Negotiable,TRUE
Chevrolet,Suburban,2011,Saudi,White,Full,,Gas,Automatic,Used,282000,Riyadh,60000,FALSE
Nissan,Patrol,2003,Saudi,White,Standard,,Gas,Manual,Used,228000,Riyadh,Negotiable,TRUE
Ford,Taurus,2013,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,251,Riyadh,35000,FALSE
Mercedes,S,1995,Other,Another Color,Semi Full,,Gas,Automatic,Used,115,Al-Ahsa,21000,FALSE
Changan,CS95,2021,Saudi,Black,Full,,Gas,Automatic,Used,33000,Riyadh,Negotiable,TRUE
Hyundai,Senta fe,2016,Other,Silver,Semi Full,2,Diesel,Automatic,Used,105000,Riyadh,76000,FALSE
Hyundai,Elantra,2016,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,110000,Qassim,Negotiable,TRUE
Nissan,Patrol,1989,Saudi,White,Full,,Gas,Manual,Used,300000,Yanbu,Negotiable,TRUE
Toyota,Camry,2015,Saudi,White,Full,,Gas,Automatic,Used,112506,Makkah,Negotiable,TRUE
Mazda,3,2015,Other,Brown,Standard,1.6,Gas,Automatic,Used,225749,Riyadh,Negotiable,TRUE
GMC,Suburban,2004,Saudi,Bronze,Semi Full,,Gas,Automatic,Used,111878,Al-Ahsa,15000,FALSE
Toyota,Rush,2021,Saudi,Red,Semi Full,1.5,Gas,Automatic,Used,9000,Khobar,59500,FALSE
Mazda,6,2021,Saudi,Silver,Full,,Gas,Automatic,Used,14500,Jeddah,106000,FALSE
Mazda,2,2011,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,37000,Riyadh,14000,FALSE
Hyundai,Veloster,2013,Saudi,Orange,Full,2,Gas,Automatic,Used,248000,Riyadh,25000,FALSE
Hyundai,Sonata,2019,Saudi,Grey,Standard,2.4,Gas,Manual,Used,3400,Al-Ahsa,58000,FALSE
GMC,Suburban,2004,Other,Black,Full,,Gas,Automatic,Used,452800,Jazan,18000,FALSE
Toyota,Camry,2018,Saudi,Red,Full,3.5,Gas,Automatic,Used,24000,Riyadh,106000,FALSE
Hyundai,Azera,2012,Gulf Arabic,White,Semi Full,3,Gas,Automatic,Used,433000,Makkah,30000,FALSE
Toyota,Cressida,1991,Saudi,White,Standard,1.4,Gas,Manual,Used,520000,Riyadh,Negotiable,TRUE
Daihatsu,Delta,2014,Saudi,White,Full,3.7,Gas,Manual,Used,100,Aseer,35000,FALSE
GMC,Suburban,1990,Saudi,Red,Full,,Gas,Automatic,Used,227,Aseer,Negotiable,TRUE
Hyundai,Creta,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,16576,Riyadh,59500,FALSE
Chevrolet,Impala,2018,Saudi,Silver,Standard,3.6,Gas,Automatic,Used,110519,Riyadh,58500,FALSE
Hyundai,Creta,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,13736,Riyadh,60000,FALSE
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,Used,28449,Riyadh,59500,FALSE
Nissan,VTC,2009,Saudi,White,Semi Full,4.8,Gas,Manual,Used,251000,Riyadh,60000,FALSE
Toyota,Furniture,2021,Saudi,White,Standard,2.7,Gas,Automatic,Used,11000,Aseer,100000,FALSE
Toyota,Land Cruiser,2021,Saudi,White,Semi Full,4.5,Diesel,Automatic,Used,20000,Riyadh,265000,FALSE
Dodge,Durango,2013,Saudi,Grey,Full,5.7,Gas,Automatic,Used,213000,Riyadh,40000,FALSE
Nissan,Datsun,1998,Other,White,Full,2.4,Gas,Manual,Used,650000,Riyadh,12000,FALSE
Mazda,6,2017,Saudi,Blue,Semi Full,2,Gas,Automatic,Used,207,Makkah,Negotiable,TRUE
Toyota,Furniture,2013,Saudi,Silver,Semi Full,4.1,Gas,Automatic,Used,285000,Aseer,55000,FALSE
Ford,Victoria,2006,Saudi,Oily,Standard,4.6,Gas,Automatic,Used,320000,Taef,19500,FALSE
Lexus,IS,2016,Other,Silver,Full,3.5,Gas,Automatic,Used,132000,Dammam,90000,FALSE
Porsche,Cayenne,2006,Saudi,Grey,Full,,Gas,Automatic,Used,195,Jeddah,18000,FALSE
Toyota,Camry,2004,Other,Silver,Semi Full,,Gas,Manual,Used,500,Tabouk,Negotiable,TRUE
Mazda,CX9,2011,Other,Black,Full,,Gas,Automatic,Used,160,Al-Medina,Negotiable,TRUE
Ford,Taurus,2019,Saudi,White,Semi Full,2,Gas,Automatic,Used,89500,Jeddah,76000,FALSE
Ford,Expedition,2014,Saudi,Another Color,Standard,,Gas,Automatic,Used,143000,Riyadh,60000,FALSE
Honda,Odyssey,2015,Saudi,Silver,Semi Full,2.5,Gas,Automatic,Used,296000,Jeddah,43000,FALSE
Kia,Cerato,2017,Saudi,Grey,Standard,1.6,Gas,Automatic,Used,20000,Riyadh,41000,FALSE
Ford,Mustang,2015,Gulf Arabic,Silver,Full,6,Gas,Automatic,Used,121000,Riyadh,85000,FALSE
Mercedes,A,2021,Saudi,Bronze,Semi Full,4,Gas,Automatic,Used,250,Jeddah,179000,FALSE
Toyota,Land Cruiser,1993,Saudi,Red,Full,,Gas,Manual,Used,580000,Aseer,Negotiable,TRUE
Lincoln,MKX,2011,Saudi,White,Full,3.5,Gas,Automatic,Used,240000,Riyadh,Negotiable,TRUE
Ford,F150,2013,Saudi,Golden,Full,6.5,Gas,Automatic,Used,419000,Qassim,Negotiable,TRUE
Land Rover,Range Rover,2017,Saudi,Silver,Full,,Gas,Automatic,Used,75000,Khobar,Negotiable,TRUE
Land Rover,Range Rover,2014,Saudi,Grey,Full,2,Gas,Automatic,Used,173000,Riyadh,Negotiable,TRUE
Chevrolet,Blazer,2006,Saudi,Grey,Standard,,Gas,Automatic,Used,457000,Riyadh,10000,FALSE
Toyota,Camry,2017,Saudi,White,Standard,2.5,Gas,Automatic,Used,109862,Riyadh,59500,FALSE
Hyundai,Elantra,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,9495,Riyadh,59500,FALSE
Hyundai,Sonata,2019,Saudi,Grey,Standard,2.4,Gas,Automatic,Used,70676,Riyadh,59500,FALSE
Changan,CS35 Plus,2020,Saudi,Silver,Full,1.4,Gas,Automatic,Used,67095,Riyadh,60000,FALSE
MG,3,2013,Saudi,White,Standard,1.3,Gas,Manual,Used,41000,Riyadh,15000,FALSE
Toyota,Hilux,2013,Saudi,White,Semi Full,2.7,Gas,Manual,Used,290,Tabouk,55000,FALSE
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Gas,Automatic,Used,17000,Riyadh,Negotiable,TRUE
BMW,X,2019,Gulf Arabic,Black,Full,,Gas,Automatic,Used,14000,Riyadh,220000,FALSE
Toyota,Camry,2007,Saudi,Silver,Full,,Gas,Manual,Used,400000,Makkah,Negotiable,TRUE
Ford,Marquis,2009,Saudi,Black,Semi Full,,Gas,Automatic,Used,140000,Riyadh,22000,FALSE
Changan,CS95,2020,Saudi,White,Full,,Gas,Automatic,Used,70000,Makkah,Negotiable,TRUE
Mercedes,SE,2006,Other,Another Color,Full,,Gas,Automatic,Used,286000,Makkah,55000,FALSE
GMC,Sierra,2015,Other,Grey,Full,,Gas,Automatic,Used,212000,Abha,Negotiable,TRUE
Ford,F150,2016,Saudi,White,Semi Full,,Gas,Automatic,Used,138,Riyadh,90000,FALSE
Hyundai,Elantra,2017,Saudi,Another Color,Standard,1.6,Gas,Automatic,Used,99000,Riyadh,38500,FALSE
Toyota,Hilux,2015,Saudi,White,Full,,Gas,Manual,Used,161000,Dammam,Negotiable,TRUE
Toyota,Avalon,2021,Saudi,Silver,Full,3.5,Gas,Automatic,Used,1800,Jeddah,182000,FALSE
Nissan,KICKS,2020,Saudi,White,Standard,,Gas,Automatic,Used,17000,Riyadh,52000,FALSE
Mitsubishi,Pajero,2016,Gulf Arabic,White,Full,3.8,Gas,Automatic,Used,216000,Dammam,58000,FALSE
INFINITI,Q,2020,Saudi,Brown,Full,3.7,Gas,Automatic,Used,2000,Jeddah,155000,FALSE
Toyota,FJ,2009,Saudi,Red,Full,,Gas,Automatic,Used,360000,Jeddah,Negotiable,TRUE
Toyota,Innova,2015,Saudi,Grey,Standard,2.7,Gas,Automatic,Used,122000,Al-Medina,43000,FALSE
Changan,CS85,2021,Saudi,Red,Full,2,Gas,Automatic,Used,2500,Jeddah,98000,FALSE
Lincoln,MKX,2017,Saudi,Grey,Semi Full,3.5,Gas,Automatic,Used,75000,Al-Ahsa,125000,FALSE
Nissan,Armada,2006,Saudi,Grey,Full,5.6,Gas,Automatic,Used,266000,Jeddah,25000,FALSE
Lexus,NX,2020,Saudi,Blue,Standard,2,Gas,Automatic,Used,30000,Jeddah,160000,FALSE
Nissan,Pathfinder,2002,Saudi,Black,Full,3.5,Gas,Manual,Used,4090000,Aseer,Negotiable,TRUE
Changan,CS35 Plus,2020,Saudi,Silver,Full,1.4,Gas,Automatic,Used,64355,Riyadh,60000,FALSE
Hyundai,Azera,2017,Saudi,Another Color,Standard,3,Gas,Automatic,Used,107154,Riyadh,61000,FALSE
Hyundai,H1,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,Used,88826,Riyadh,60500,FALSE
Mazda,6,2017,Saudi,Red,Standard,2.5,Gas,Automatic,Used,91170,Riyadh,60500,FALSE
GMC,Suburban,2006,Saudi,Black,Standard,2,Gas,Automatic,Used,230000,Makkah,29000,FALSE
GMC,Suburban,2006,Saudi,Black,Standard,2,Gas,Automatic,Used,230000,Makkah,29000,FALSE
Lexus,ES,2020,Saudi,Grey,Standard,2.5,Gas,Automatic,Used,30000,Riyadh,142500,FALSE
Toyota,Camry,2016,Saudi,Silver,Semi Full,2.5,Gas,Automatic,Used,106000,Jeddah,Negotiable,TRUE
Chevrolet,Suburban,2007,Saudi,Brown,Standard,1.8,Gas,Automatic,Used,541000,Riyadh,Negotiable,TRUE
Hyundai,Tucson,2013,Saudi,White,Semi Full,,Gas,Automatic,Used,234300,Riyadh,Negotiable,TRUE
Chevrolet,Trailblazer,2006,Other,Black,Full,,Gas,Automatic,Used,263000,Riyadh,Negotiable,TRUE
Chevrolet,Tahoe,2003,Other,Another Color,Full,,Gas,Automatic,Used,488000,Jeddah,13000,FALSE
Cadillac,Escalade,2018,Saudi,Grey,Full,6.2,Gas,Automatic,Used,22200,Riyadh,230000,FALSE
Chevrolet,Suburban,2003,Saudi,Red,Standard,,Gas,Automatic,Used,500000,Riyadh,Negotiable,TRUE
Ford,Expedition,2018,Saudi,Golden,Semi Full,,Gas,Automatic,Used,91000,Najran,Negotiable,TRUE
Jeep,Wrangler,2019,Saudi,Silver,Full,3.6,Gas,Automatic,Used,24500,Al-Medina,Negotiable,TRUE
Kia,Opirus,2008,Saudi,Brown,Semi Full,3.8,Gas,Automatic,Used,271540,Dammam,Negotiable,TRUE
Toyota,Echo,2001,Saudi,Another Color,Standard,1.5,Gas,Manual,Used,480000,Jeddah,10000,FALSE
Ford,Taurus,2017,Saudi,Grey,Standard,6,Gas,Automatic,Used,75000,Dammam,65000,FALSE
Lexus,ES,2017,Other,White,Semi Full,3.5,Gas,Automatic,Used,96906,Riyadh,116000,FALSE
Toyota,Land Cruiser Pickup,2014,Gulf Arabic,Brown,Full,,Gas,Manual,Used,219078,Al-Medina,Negotiable,TRUE
Dodge,Charger,2016,Other,Blue,Full,5.7,Gas,Automatic,Used,142000,Riyadh,89000,FALSE
Toyota,Land Cruiser,2014,Gulf Arabic,White,Full,,Gas,Automatic,Used,200000,Riyadh,Negotiable,TRUE
Toyota,Furniture,2009,Saudi,Brown,Standard,,Gas,Automatic,Used,250,Taef,40000,FALSE
Toyota,Furniture,2012,Saudi,White,Standard,4,Gas,Automatic,Used,370000,Riyadh,Negotiable,TRUE
Mercedes,S,2002,Gulf Arabic,White,Full,,Gas,Automatic,Used,101000,Dammam,38000,FALSE
Mercedes,E,2016,Gulf Arabic,White,Semi Full,,Gas,Automatic,Used,73000,Dammam,125000,FALSE
Ford,Expedition,2012,Saudi,Silver,Semi Full,5.4,Gas,Automatic,Used,159000,Hail,Negotiable,TRUE
Hyundai,Sonata,2018,Saudi,Brown,Standard,2.4,Gas,Automatic,Used,120966,Riyadh,49000,FALSE
Kia,Sportage,2019,Saudi,Blue,Standard,1.6,Gas,Automatic,Used,69358,Riyadh,60500,FALSE
Kia,Sportage,2019,Saudi,Blue,Standard,1.6,Gas,Automatic,Used,73406,Riyadh,60500,FALSE
Geely,X7,2019,Saudi,Golden,Full,2.4,Gas,Automatic,Used,32209,Riyadh,61000,FALSE
MG,6,2020,Saudi,White,Full,2,Gas,Automatic,Used,29814,Riyadh,61500,FALSE
Jeep,Grand Cherokee,2020,Saudi,Blue,Full,3.6,Gas,Automatic,Used,52000,Khobar,162000,FALSE
Lexus,LS,2003,Other,Bronze,Full,,Gas,Automatic,Used,1869,Riyadh,22000,FALSE
Mazda,6,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,198,Jeddah,55000,FALSE
GMC,Sierra,1979,Saudi,Red,Standard,,Gas,Manual,Used,100,Riyadh,Negotiable,TRUE
